CustomerID,FullName,Gender,Region,CustomerSegment,SignupDate
C10001,Margaret Johnson,Female,Northeast,New,2023-10-09
C10002,Daniel Doyle,Male,Northeast,New,2025-05-17
C10003,Patricia Miller,Non-binary,Northeast,Returning,2024-05-11
C10004,Amanda Robinson,Female,Northeast,New,2024-09-09
C10005,Anthony Gonzalez,Non-binary,Northeast,New,2025-04-08
C10006,Amy Robinson,Non-binary,Southeast,Returning,2025-01-10
C10007,Rhonda Smith,Female,West,New,2025-11-22
C10008,Michael Peterson,Male,West,Returning,2023-04-18
C10009,Tyler Rogers,Male,Northeast,Loyalty,2023-01-16
C10010,Anne Abbott,Female,Northeast,New,2025-01-31
C10011,Renee Blair,Female,Midwest,Loyalty,2024-10-24
C10012,William Gray,Male,Midwest,Loyalty,2024-11-16
C10013,Ronald Montgomery,Male,Northeast,Returning,2026-02-12
C10014,Barbara Bush,Non-binary,Online-only,Returning,2022-11-08
C10015,Darren Roberts,Male,West,New,2022-12-28
C10016,David Garcia,Male,West,Loyalty,2023-10-13
C10017,Mark Diaz,Male,Online-only,Returning,2024-02-25
C10018,Daniel Adams,Male,West,Returning,2026-06-01
C10019,Maria Lynch,Female,Southeast,Returning,2023-05-10
C10020,Monica Martin,Female,Midwest,New,2024-03-10
C10021,William Bowman,Male,Northeast,Returning,2024-11-24
C10022,Gabrielle Cameron,Non-binary,Northeast,Returning,2025-10-09
C10023,Crystal Johnson,Female,Southeast,New,2023-12-07
C10024,Debra Clark,Female,Southeast,New,2026-06-10
C10025,Nancy Edwards,Non-binary,Online-only,Returning,2025-04-16
C10026,James Rocha,Male,Southeast,Loyalty,2024-07-03
C10027,Derek Wright,Male,Northeast,New,2024-11-30
C10028,Jose Richards,Non-binary,Midwest,Returning,2026-04-05
C10029,James Robinson,Male,Online-only,Returning,2026-08-29
C10030,Jordan Davis,Male,Online-only,New,2022-11-10
C10031,Brian Burton,Male,Northeast,New,2025-11-02
C10032,Jennifer Brown,Female,Northeast,New,2024-03-13
C10033,Zachary Rice,Male,Midwest,Returning,2026-07-21
C10034,Michelle Smith,Non-binary,Online-only,Returning,2025-07-21
C10035,Erin Herrera,Non-binary,Online-only,New,2023-09-27
C10036,Margaret Rodriguez,Female,West,Returning,2024-05-29
C10037,Jody Mckay,Female,West,Returning,2026-03-04
C10038,Deborah Mason,Female,Midwest,Returning,2023-05-21
C10039,Susan Harrell,Female,Online-only,Loyalty,2023-11-12
C10040,Danielle Lynch,Non-binary,Online-only,Loyalty,2023-04-14
C10041,Pamela Ryan,Female,West,Returning,2025-10-13
C10042,Joseph Smith,Male,Northeast,Loyalty,2023-12-20
C10043,Andrew Hickman,Non-binary,Online-only,Loyalty,2026-03-08
C10044,Sandra Parker,Female,Midwest,Returning,2022-11-26
C10045,Sherry Arroyo,Female,Online-only,Loyalty,2023-01-06
C10046,Katelyn Jones,Female,Southeast,New,2025-09-17
C10047,Katie Anderson,Non-binary,Online-only,New,2024-07-27
C10048,Joshua Baker,Male,West,Loyalty,2026-02-27
C10049,Rodney Lewis,Non-binary,West,New,2024-10-29
C10050,Nicholas Harris,Male,Online-only,New,2023-12-02
C10051,Wanda Santos,Non-binary,Online-only,Returning,2024-06-03
C10052,Joseph Martinez,Male,Online-only,Loyalty,2023-07-28
C10053,George Chapman,Male,West,Returning,2023-08-04
C10054,Connie Jones,Female,Midwest,Returning,2025-03-12
C10055,Crystal Whitehead,Female,Southeast,New,2026-02-09
C10056,Andrea Young,Female,Midwest,New,2025-05-06
C10057,Daniel Anderson,Male,Northeast,Returning,2026-05-30
C10058,Laura Kennedy,Female,Southeast,Loyalty,2025-10-22
C10059,Rhonda Lee,Female,Northeast,New,2023-01-22
C10060,Jeffrey Henderson,Male,Northeast,New,2024-07-15
C10061,Jessica Nunez,Non-binary,Midwest,New,2026-08-09
C10062,Brett Powell,Male,West,New,2024-01-11
C10063,Shannon Wright,Female,West,Returning,2023-06-07
C10064,Jerry Henderson,Male,Midwest,Returning,2023-10-14
C10065,Danielle Leblanc,Female,Northeast,Returning,2024-06-10
C10066,Shannon Pierce,Female,Southeast,New,2022-11-15
C10067,Zachary Huff,Male,Northeast,New,2026-07-18
C10068,Timothy Allison,Male,Southeast,Loyalty,2023-05-03
C10069,John Lewis,Male,West,Loyalty,2024-04-10
C10070,Amy Gray,Female,Northeast,Loyalty,2026-08-11
C10071,Deborah Bowers,Female,Online-only,Loyalty,2024-06-28
C10072,Jay Bernard,Male,Northeast,Returning,2026-08-26
C10073,Justin Higgins,Male,Online-only,Loyalty,2023-04-17
C10074,Edward Novak,Male,Southeast,Loyalty,2024-12-26
C10075,Kimberly Adkins,Female,Online-only,Loyalty,2022-11-25
C10076,Lauren Shaw,Female,Midwest,Loyalty,2026-01-29
C10077,Eric Yu,Non-binary,West,Returning,2022-12-28
C10078,Cody Larson,Male,Southeast,Loyalty,2025-05-15
C10079,Joe Wilson,Non-binary,West,New,2026-03-25
C10080,Danielle Wheeler,Female,Northeast,Returning,2025-02-23
C10081,Robert Silva,Non-binary,Online-only,Returning,2024-10-05
C10082,Taylor Harris,Female,Online-only,New,2025-07-14
C10083,David Foster,Male,Northeast,New,2025-05-10
C10084,Elijah Stewart,Male,Southeast,Loyalty,2025-09-04
C10085,Charles Ellis,Non-binary,Southeast,Returning,2026-08-30
C10086,Wendy Jones,Non-binary,Northeast,Returning,2023-07-11
C10087,Joseph Mahoney,Non-binary,Midwest,Loyalty,2026-03-12
C10088,Shawn Wood,Male,West,Returning,2023-04-21
C10089,Sandra Warner,Female,Southeast,Returning,2025-02-12
C10090,Victoria Valdez,Female,Midwest,Loyalty,2022-09-14
C10091,Ruth Evans,Female,Northeast,Returning,2025-04-28
C10092,Sheila Taylor,Non-binary,Online-only,New,2023-02-18
C10093,Brian Tran,Male,Midwest,New,2023-10-05
C10094,Lisa Robbins,Female,Online-only,Loyalty,2023-06-27
C10095,Madison Baker,Female,Southeast,Returning,2024-08-16
C10096,Rebecca Mathis,Non-binary,West,Returning,2023-01-15
C10097,Rodney Hill,Non-binary,Northeast,Loyalty,2022-09-08
C10098,Patricia Walsh,Female,Online-only,New,2023-09-20
C10099,Patrick Arnold,Male,Southeast,Loyalty,2024-05-19
C10100,Alec Jones,Non-binary,Northeast,Returning,2026-03-15
C10101,Stuart Gardner,Male,West,New,2026-01-03
C10102,Lauren Hernandez,Female,Midwest,New,2023-03-08
C10103,Elizabeth Nolan,Female,Northeast,Returning,2025-11-08
C10104,Shannon Nolan,Female,Northeast,Returning,2023-07-06
C10105,David Garcia,Male,West,New,2025-10-15
C10106,Stephen Russell,Male,Midwest,Returning,2025-02-25
C10107,Brittany Spears,Female,Northeast,Loyalty,2026-02-16
C10108,William Cochran,Male,Midwest,Loyalty,2026-03-12
C10109,Angel Doyle,Non-binary,Midwest,Returning,2023-12-31
C10110,Tara Pham,Female,Southeast,Loyalty,2026-02-15
C10111,Rita Adams,Female,Online-only,New,2025-10-26
C10112,Brian Brennan,Male,West,Returning,2026-02-07
C10113,Jeffrey Velasquez,Non-binary,Online-only,Returning,2024-07-06
C10114,Kevin Pope,Non-binary,West,Loyalty,2023-08-01
C10115,Alexander Lee,Male,Online-only,Loyalty,2023-12-26
C10116,Sean Rasmussen,Male,Online-only,New,2023-10-15
C10117,Margaret Ross,Female,West,Returning,2026-08-05
C10118,Joshua Crosby,Male,Southeast,Loyalty,2023-02-18
C10119,Tracy White,Female,Southeast,New,2026-07-09
C10120,Derek Rodriguez,Male,Southeast,Loyalty,2024-05-29
C10121,Nicholas Edwards,Male,Southeast,Loyalty,2025-02-04
C10122,Jorge Cruz,Male,Southeast,Returning,2024-12-22
C10123,David Fletcher,Male,Southeast,Loyalty,2022-09-05
C10124,Tammy Ryan,Female,Southeast,Returning,2025-07-19
C10125,Judy Lambert,Non-binary,Southeast,New,2024-02-16
C10126,Andrea Beck,Female,Northeast,Loyalty,2023-12-29
C10127,Emily Charles,Female,Northeast,Returning,2025-07-19
C10128,Elizabeth Parker,Female,West,Returning,2024-04-21
C10129,Richard Phillips,Non-binary,Online-only,New,2023-03-07
C10130,Robert Bentley,Non-binary,Northeast,New,2025-05-18
C10131,Steven Gilbert,Male,Northeast,Loyalty,2023-11-16
C10132,Amy Smith,Non-binary,West,Loyalty,2023-10-26
C10133,Jeffrey Carpenter,Male,Southeast,New,2025-04-15
C10134,Julie Ramos,Female,West,Returning,2023-07-12
C10135,Kara Santana,Female,West,Returning,2025-11-08
C10136,Carolyn Miller,Female,West,Returning,2024-09-24
C10137,Mackenzie Rogers,Female,Midwest,New,2025-12-10
C10138,Paul Chambers,Male,West,Loyalty,2023-07-27
C10139,James Johnson,Non-binary,Midwest,Returning,2023-08-26
C10140,Karen Atkinson,Female,Southeast,New,2022-12-18
C10141,Robert Soto,Non-binary,Midwest,Returning,2023-06-13
C10142,Michael Snyder,Male,Midwest,New,2023-08-25
C10143,Matthew Smith,Male,West,Loyalty,2025-09-03
C10144,Randy Rodriguez,Male,West,Returning,2024-05-15
C10145,Gregory Rubio,Non-binary,Southeast,Loyalty,2024-09-28
C10146,Anthony Wright,Male,West,New,2026-01-23
C10147,Jesus Solis,Male,Northeast,New,2025-05-04
C10148,William Larson,Male,West,Loyalty,2026-06-21
C10149,Steven Salazar,Male,Southeast,Returning,2025-07-19
C10150,Jonathan Rivas,Male,West,Returning,2024-11-10
C10151,Steven Manning,Male,Southeast,Returning,2024-07-27
C10152,Deanna Wright,Female,Online-only,Loyalty,2025-03-21
C10153,Pamela Boyd,Female,West,New,2025-03-06
C10154,Joshua Jones,Non-binary,Midwest,Returning,2023-10-25
C10155,Denise Flores,Female,Midwest,Loyalty,2024-10-30
C10156,Devon Hall,Non-binary,Online-only,Returning,2025-06-12
C10157,Michael Brown,Male,West,Returning,2024-04-20
C10158,Amy Perry,Non-binary,Midwest,Loyalty,2023-07-01
C10159,Jason Stein,Male,Online-only,Returning,2025-01-02
C10160,Michael Gates,Male,Midwest,Loyalty,2025-09-24
C10161,Jamie Smith,Female,West,Returning,2024-01-29
C10162,Paul Castaneda,Male,Southeast,New,2026-06-26
C10163,Jennifer Adkins,Female,Southeast,Returning,2024-11-08
C10164,Carrie Walker,Non-binary,Northeast,New,2023-07-20
C10165,Jeffrey Johnson,Male,West,Returning,2024-01-06
C10166,Meghan Powell,Female,Southeast,Returning,2023-05-01
C10167,John Anderson,Male,Southeast,New,2025-02-27
C10168,Alexander Long,Male,Southeast,Loyalty,2024-12-05
C10169,Alyssa Day,Female,Online-only,Loyalty,2023-03-20
C10170,Joel Williams,Male,Midwest,Loyalty,2024-03-09
C10171,Christine Murphy,Female,West,Loyalty,2025-09-18
C10172,James Walton,Male,Midwest,Returning,2025-12-30
C10173,Johnny Miller,Non-binary,Online-only,Returning,2022-10-01
C10174,Kimberly Cooke,Female,Midwest,New,2024-01-26
C10175,Marie Harrington,Female,West,Loyalty,2025-04-11
C10176,Paul Herring,Male,West,Loyalty,2023-06-21
C10177,Andrew Hernandez,Non-binary,Midwest,Loyalty,2023-03-06
C10178,Elizabeth Elliott,Non-binary,Midwest,New,2023-07-18
C10179,Michael Wang,Male,Northeast,Returning,2023-05-05
C10180,Lisa Adkins,Female,Southeast,Returning,2023-02-17
C10181,Robert Oconnell,Male,Southeast,Loyalty,2023-02-07
C10182,Alexander Collins,Male,Southeast,Loyalty,2025-05-18
C10183,Tyler Sanders,Male,Southeast,New,2025-07-12
C10184,Angela Vaughn,Female,West,New,2025-03-06
C10185,Ashley Barton,Female,Southeast,New,2026-01-26
C10186,Lindsay Martinez,Female,West,Loyalty,2026-08-09
C10187,Richard Reed,Male,West,Returning,2024-05-20
C10188,Jacob Hunter,Male,Northeast,Returning,2024-01-14
C10189,Melissa Short,Non-binary,Online-only,Returning,2023-02-04
C10190,Tonya Reid,Female,West,New,2025-12-25
C10191,Jasmine Graham,Non-binary,Online-only,Returning,2025-08-09
C10192,Vincent Nelson,Male,Online-only,New,2025-11-25
C10193,Kimberly Webb,Female,Online-only,Returning,2024-05-30
C10194,Nicholas Adams,Male,Southeast,Returning,2026-01-28
C10195,Sandra Miller,Female,Midwest,Loyalty,2026-03-13
C10196,David Marshall,Male,Northeast,Loyalty,2025-02-10
C10197,Nicholas Johnson,Non-binary,West,Loyalty,2026-01-27
C10198,Hunter Lewis,Non-binary,West,Returning,2025-11-10
C10199,Gerald Beard,Male,West,New,2025-06-22
C10200,Desiree Smith,Female,Northeast,Returning,2026-06-18
C10201,Bradley Cortez,Male,Northeast,Loyalty,2024-08-16
C10202,Peter Vaughn,Male,West,Returning,2025-04-03
C10203,Travis Mcguire,Non-binary,Online-only,New,2023-01-16
C10204,Jeffrey Holt,Non-binary,West,Returning,2023-11-24
C10205,Bonnie Kennedy,Non-binary,Southeast,Loyalty,2024-10-17
C10206,Jessica Reese,Female,Southeast,Returning,2023-12-29
C10207,Michael Nelson,Male,Midwest,Returning,2023-09-05
C10208,Barbara Lee,Female,Northeast,Loyalty,2023-02-24
C10209,Joshua Gill,Male,Midwest,Returning,2023-05-31
C10210,Cindy Washington,Female,Southeast,Loyalty,2025-07-26
C10211,Vanessa Warren,Female,Midwest,Returning,2023-10-21
C10212,Brian Lee,Male,Northeast,Returning,2023-08-01
C10213,Christopher Smith,Male,Midwest,New,2024-10-21
C10214,Donald Mccann,Male,West,Returning,2024-11-18
C10215,Melissa Martinez,Female,Northeast,New,2026-02-21
C10216,John Salas,Male,Southeast,Returning,2024-12-19
C10217,John Alexander,Male,Midwest,Returning,2023-05-30
C10218,Brett Everett,Non-binary,Southeast,Returning,2024-07-31
C10219,Samantha Morales,Female,Southeast,New,2022-12-20
C10220,Mark Brown,Male,Southeast,Returning,2023-04-08
C10221,Justin Torres,Male,Northeast,Returning,2026-08-24
C10222,Bailey Duran,Female,West,Loyalty,2025-02-04
C10223,Krystal Perez,Non-binary,Midwest,Loyalty,2024-10-04
C10224,Jerry Ramos,Male,Southeast,Returning,2026-02-09
C10225,Wanda Torres,Female,Northeast,Returning,2025-02-25
C10226,Lisa Singh,Female,Northeast,New,2026-06-17
